checkpoint,fold,seed,best_score,binary_acc,binary_macro_f1,binary_kappa,ternary_acc,ternary_macro_f1,ternary_kappa,phq_ccc,phq_rmse,phq_mae
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold1_seed42.pt,1,42,0.6264900564450879,0.8333333333333334,0.8193979933110368,0.6493506493506493,0.7777777777777778,0.7583333333333334,0.660377358490566,-0.015457620392357162,4.5683080301638315,3.9856044583850436
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold1_seed43.pt,1,43,0.8112327291700625,0.9444444444444444,0.9428571428571428,0.8860759493670887,0.8333333333333334,0.7999999999999999,0.7378640776699029,0.6128495960015204,3.2731852943911908,2.6180360747708216
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold1_seed44.pt,1,44,0.5386203479396384,0.8333333333333334,0.8285714285714285,0.6582278481012658,0.6111111111111112,0.583442265795207,0.4,-0.015262441046471783,5.101959965609536,3.9351232184304132
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold2_seed42.pt,2,42,0.411366407983847,0.7222222222222222,0.7142857142857142,0.4303797468354431,0.5555555555555556,0.43333333333333335,0.28,-0.02507988408598675,5.675450020924341,3.3879531655046673
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold2_seed43.pt,2,43,0.4203773017729928,0.6666666666666666,0.625,0.2894736842105263,0.5,0.5,0.23584905660377353,0.23552593767231894,5.5144312689062085,4.29401903020011
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold2_seed44.pt,2,44,0.42796014613180555,0.7222222222222222,0.7213622291021672,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.23404255319148937,0.08342137251693553,4.559325313467688,3.3844611512290106
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold3_seed42.pt,3,42,0.6966996160801308,0.8235294117647058,0.8131868131868132,0.6277372262773723,0.8823529411764706,0.8804112554112554,0.8152173913043478,0.08557562348528563,3.6613237483990875,3.0519594304701863
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold3_seed43.pt,3,43,0.7215323550123282,0.8823529411764706,0.8819444444444444,0.7671232876712328,0.8235294117647058,0.8000000000000002,0.7329842931937173,0.24020071180983046,3.43375658306369,2.5144880133516647
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold3_seed44.pt,3,44,0.6819142881553886,0.8823529411764706,0.8819444444444444,0.7671232876712328,0.7647058823529411,0.6825396825396824,0.6243093922651933,0.31967580194605866,3.0805222158195624,2.584131787804996
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold4_seed42.pt,4,42,0.30249677478195675,0.5882352941176471,0.5641025641025641,0.13138686131386856,0.47058823529411764,0.4427350427350427,0.17297297297297298,-0.11335569471482253,4.296927208012413,3.079628720003016
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold4_seed43.pt,4,43,0.24433113255359984,0.5882352941176471,0.5641025641025641,0.13138686131386856,0.4117647058823529,0.28460038986354774,0.05027932960893833,-0.062163693796843875,4.881356309667881,3.112082498915055
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold4_seed44.pt,4,44,0.3412272035735419,0.6470588235294118,0.6136363636363636,0.23880597014925375,0.47058823529411764,0.4507936507936508,0.17297297297297298,-0.061245493613188144,4.133102159637769,2.4290889501571655
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold5_seed42.pt,5,42,0.3174044188546569,0.47058823529411764,0.4631578947368421,-0.06993006993006978,0.5882352941176471,0.6001188354129531,0.33519553072625696,-0.12140349715245054,5.7018839965555035,4.481022112509784
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold5_seed43.pt,5,43,0.3879051910475002,0.6470588235294118,0.6357142857142857,0.2816901408450705,0.47058823529411764,0.4682539682539682,0.1947368421052631,0.11357587800125563,11.926534985883073,8.728610403397504
/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/checkpoints/fold5_seed44.pt,5,44,0.5030590878247029,0.7647058823529411,0.7638888888888888,0.5277777777777778,0.6470588235294118,0.5789473684210527,0.40697674418604646,-0.012070154789392142,5.926554307693337,3.9007533148807636
